AI_Mode,Crew,Storm_Prob,Avg_Days,Max_Days,Min_Days,Std_Days
Normal,5,0.02,28.53875,34.166666666666664,19.291666666666668,2.8323683410619487
Normal,5,0.05,28.3515,33.916666666666664,18.875,2.71384001098267
Normal,5,0.1,28.271583333333332,33.833333333333336,17.958333333333332,2.8093425880143994
Stealth Mode,3,0.02,59.95366666666666,89.125,35.333333333333336,9.258575820839733
Stealth Mode,3,0.05,59.650083333333335,90.08333333333333,34.625,9.231058339303637
Stealth Mode,3,0.1,59.76241666666667,88.79166666666667,34.833333333333336,9.052909441696213
Stealth Mode,4,0.02,49.56191666666666,65.875,29.291666666666668,6.666926269891183
Stealth Mode,4,0.05,49.56,68.58333333333333,28.125,6.677088026154665
Stealth Mode,4,0.1,49.657916666666665,67.875,30.916666666666668,6.1761307541134585
Stealth Mode,5,0.02,43.4815,55.708333333333336,26.375,4.894154753530273
Stealth Mode,5,0.05,43.315,55.666666666666664,28.583333333333332,4.8774652057874635
Stealth Mode,5,0.1,43.51241666666667,55.583333333333336,26.75,4.684362249749025
